"id","placa","cpf","reserva","retirada","devolucao","subtotal"
"1","DEA-7981","111.111.111-11","2024-03-23","2024-03-23","2024-03-28","500.00"
"2","CBC-4945","222.222.222-22","2024-03-23","2024-03-24","2024-04-03","1200.00"
"3","BEE-7735","333.333.333-33","2024-03-25","2024-03-26","2024-04-05","1000.00"
"4","CBA-4403","444.444.444-44","2024-03-28","2024-03-29","2024-04-08","1000.00"
"5","BBC-8504","444.444.444-44","2024-04-02","2024-04-02","2024-04-12","1000.00"
"6","BEB-5885","111.111.111-11","2024-04-02","2024-04-02","2024-04-17","1500.00"
"7","EDB-2475","111.111.111-11","2024-04-02","2024-04-02","2024-04-07","1000.00"
"8","CBC-4901","444.444.444-44","2024-04-07","2024-04-07","2024-04-17","1200.00"
"9","EDB-2475","111.111.111-11","2024-04-09","2024-04-10","2024-04-22","2400.00"
"10","DEA-7981","444.444.444-44","2024-04-11","2024-04-11","2024-04-27","1600.00"
"11","CBA-4403","555.555.555-55","2024-04-11","2024-04-11","2024-04-24","1300.00"
"12","BBC-8504","333.333.333-33","2024-04-12","2024-04-13","2024-04-17","400.00"
"13","BEE-7735","222.222.222-22","2024-04-14","2024-04-15","2024-04-26","1100.00"
"14","BEB-5885","111.111.111-11","2024-04-17","2024-04-17","2024-05-02","1500.00"
"15","CBA-4403","555.555.555-55","2024-04-18","2024-04-18","2024-05-04","1600.00"
"16","BEE-7735","333.333.333-33","2024-04-20","2024-04-21","2024-05-06","1500.00"
"17","BBC-8504","444.444.444-44","2024-04-22","2024-04-22","2024-05-02","1000.00"
"18","CBC-4945","444.444.444-44","2024-04-22","2024-04-22",NULL,"0.00"
"19","DEA-7981","555.555.555-55","2024-04-23","2024-04-23",NULL,"0.00"
"20","EDB-2475","555.555.555-55","2024-04-27","2024-04-27",NULL,"0.00"
"21","CBA-4403","222.222.222-22","2024-05-05","2024-03-28",NULL,"0.00"
"22","BEB-5885","222.222.222-22","2024-05-05","2024-03-23",NULL,"0.00"
"23","BBC-8504","222.222.222-22","2024-05-06",NULL,NULL,"0.00"
"24","DEA-7981","111.111.111-11","2024-05-07",NULL,NULL,"0.00"
"25","CBC-4945","222.222.222-22","2024-05-07",NULL,NULL,"0.00"
